,high,low,open,volumefrom,volumeto,close,market_cap,progression daily,progression tomorrow,target,ema_26,ema_12,macd,rsi,relative_volume,obv,atr,bollinger_upper,bollinger_lower,k,momentum,difficulty
2011-02-05,0.92,0.811,0.811,15786.81,13634.2,0.92,,0.16456059735784034,0.13440197287299638,1,0.4850757338785505,0.5864190985697042,0.10134336469115368,88.12634041723534,1.3090883453644762,13259.910000000014,0.1371785714285714,0.7627903604404629,0.19451963955953716,75.57117750439369,0.4010000000000001,
2011-02-06,0.92,0.83,0.92,8744.11,7608.77,0.8997,,0.13440197287299638,-0.022065217391304293,0,0.5172923461838431,0.6377392372512882,0.1204468910674451,89.80753138075315,0.696621526089731,20868.680000000015,0.14322142857142856,0.8473258479350667,0.16330415206493326,94.72759226713534,0.5030000000000001,
2011-02-07,0.9,0.83,0.8997,2264.28,1949.54,0.89,,-0.022065217391304293,-0.010781371568300613,0,0.545618839059114,0.6780408930587823,0.13242205399966833,87.12453320344213,0.18153798018813633,18919.140000000014,0.14512857142857144,0.9088819546729525,0.15676804532704774,91.01143674052898,0.47850000000000004,
2011-02-08,0.918,0.8617,0.89,7021.29,6306.77,0.918,,-0.010781371568300613,0.03146067415730336,1,0.5711285546843649,0.7106499864343543,0.13952143174998943,88.97363621290002,0.5668941225719382,12612.370000000014,0.14612142857142857,0.954865447359466,0.16848455264053386,89.2780557541101,0.444,
2011-02-09,1.09,0.82,0.918,49632.5,47455.01,1.09,,0.03146067415730336,0.18736383442265803,1,0.5968227358188563,0.7425499885213768,0.14572725270252052,90.88860270444302,3.3743066590292714,60067.38000000002,0.16329285714285716,0.997458036489274,0.18639196351072612,74.76155539251651,0.47900000000000004,
2011-02-10,1.1,0.8,1.09,26559.64,25568.81,0.9803,,0.18736383442265803,-0.1006422018348625,0,0.6333543850174596,0.7960038364411649,0.16264945142370535,92.80081404222844,1.7015668900495058,85636.19000000002,0.18175714285714287,1.077416183978228,0.17643381602177227,98.5268120212139,0.6101000000000001,
2011-02-11,1.09,0.9264,0.9803,13299.18,13213.54,1.07,,-0.1006422018348625,0.09150260124451703,1,0.6590540602013514,0.8243570923732935,0.1653030321719421,81.35022989794773,0.8359804982309204,72422.65000000002,0.19137142857142858,1.1206731993654784,0.18921680063452173,82.13432835820895,0.4301999999999999,
2011-02-12,1.08,0.9906,1.07,4118.92,4353.79,1.08,,0.09150260124451703,0.009345794392523477,1,0.6894945001864364,0.8621483089312483,0.17265380874481184,82.61551327618649,0.27090887029783367,76776.44000000002,0.19672142857142857,1.1758297080322488,0.19663029196775117,95.46142208774585,0.36230000000000007,
2011-02-13,1.08,1.02,1.08,3240.64,3398.3,1.05,,0.009345794392523477,-0.02777777777777779,0,0.7184208335059596,0.8956639537110562,0.17724312020509658,83.39933305543977,0.212757346606493,80174.74000000002,0.19807857142857146,1.2236347316559197,0.2125852683440803,96.82539682539682,0.3640000000000001,
2011-02-14,1.08,1.033,1.05,7096.55,7532.41,1.07,,-0.02777777777777779,0.01904761904761898,1,0.7429822532462589,0.9194079608324321,0.17642570758617326,80.04637925582375,0.5314105135425506,72642.33000000002,0.16493571428571435,1.2554250174862829,0.24380498251371718,91.3778237627177,0.3536,
